"id","chr","start","end","strand","breast_normal","breast_cancer","colon_normal","colon_cancer","lung_normal","lung_cancer","pancreas_normal","pancreas_cancer","NET_cancer","thyroid_normal","thyroid_cancer"
273462,chr11,193044,193044,*,0.6809,0.6155,0.6519,0.4459,0.7565,0.6506,0.4874,0.6565,0.4335,0.5982,0.5475
273463,chr11,193062,193062,*,0.806,0.7101,0.6952,0.5649,0.8525,0.6963,0.606,0.7328,0.503,0.6499,0.5546
273464,chr11,193112,193112,*,0.6148,0.5807,0.5933,0.4825,0.6112,0.5675,0.4834,0.5412,0.5173,0.5426,0.5294
273465,chr11,194441,194441,*,0.595,0.572,0.5498,0.4152,0.5999,0.5399,0.6887,0.5733,0.3524,0.571,0.5427
273466,chr11,194498,194498,*,0.4578,0.4551,0.569,0.4508,0.6164,0.5016,0.567,0.5087,0.3103,0.6434,0.5799
273467,chr11,194509,194509,*,0.5407,0.5133,0.5772,0.4509,0.6281,0.5392,0.6094,0.5403,0.3726,0.6364,0.5623
273468,chr11,195323,195323,*,0.6329,0.6813,0.6171,0.4518,0.722,0.6015,0.7542,0.6426,0.482,0.7702,0.6967
273469,chr11,195390,195390,*,0.5196,0.5075,0.5291,0.3972,0.5955,0.4931,0.5972,0.5442,0.3491,0.6458,0.4783
273470,chr11,195572,195572,*,0.5637,0.5248,0.5877,0.3851,0.6045,0.5262,0.5754,0.5543,0.3661,0.5825,0.4626
273471,chr11,196824,196824,*,0.8433,0.8061,0.8426,0.6675,0.8738,0.7808,0.8201,0.8292,0.73,0.8684,0.8624
273472,chr11,197224,197224,*,0.7106,0.6799,0.7386,0.5274,0.7744,0.6574,0.6197,0.7205,0.4262,0.7458,0.7876
273473,chr11,197507,197507,*,0.6375,0.6813,0.6641,0.5571,0.7165,0.5975,0.7199,0.6641,0.5406,0.7086,0.716
273474,chr11,200083,200083,*,0.7168,0.6675,0.8339,0.6563,0.8394,0.689,0.7886,0.788,0.7749,0.8133,0.8471
273475,chr11,204709,204709,*,0.8203,0.8882,0.9056,0.9016,0.8946,0.9008,0.7991,0.9043,0.8952,0.8935,0.8741
273476,chr11,206943,206943,*,0.1029,0.1087,0.1082,0.1073,0.1136,0.1036,0.1121,0.1062,0.1094,0.1104,0.1026
273477,chr11,207155,207155,*,0.0329,0.035,0.0316,0.0332,0.0345,0.0302,0.035,0.0327,0.0426,0.0355,0.0363
273478,chr11,207296,207296,*,0.0626,0.0678,0.0665,0.0684,0.0626,0.0641,0.0791,0.0616,0.0802,0.0685,0.0693
273479,chr11,207412,207412,*,0.0091,0.012,0.0078,0.011,0.0094,0.0045,0.0074,0.0083,0.0114,0.0097,0.0112
273480,chr11,207425,207425,*,0.0039,0.0026,0.0025,0.0024,0.0015,0.0015,0.0038,0.0024,0.0018,0.0017,0.0022
273481,chr11,207525,207525,*,0.0789,0.0879,0.0849,0.0895,0.0827,0.0876,0.089,0.0795,0.1167,0.083,0.0936
273482,chr11,207529,207529,*,0.0052,0.0055,0.0047,0.0055,0.006,0.0038,0.0059,0.0045,0.0089,0.0054,0.0064
273483,chr11,207531,207531,*,0.0194,0.0215,0.0221,0.0169,0.0196,0.0182,0.0207,0.0203,0.0275,0.0185,0.0229
273484,chr11,207537,207537,*,0.0677,0.068,0.0707,0.0619,0.0708,0.0719,0.0702,0.0671,0.0705,0.072,0.0705
273485,chr11,207681,207681,*,0.0589,0.0672,0.0576,0.0569,0.0542,0.0588,0.0635,0.0568,0.0589,0.0606,0.0561
273486,chr11,207688,207688,*,0.0241,0.0267,0.0264,0.0298,0.023,0.0264,0.0248,0.0273,0.0495,0.0292,0.0307
273487,chr11,207881,207881,*,0.0319,0.0384,0.0395,0.051,0.0334,0.0407,0.033,0.0458,0.039,0.035,0.042
273488,chr11,208399,208399,*,0.0678,0.0702,0.0713,0.0776,0.0632,0.0675,0.0663,0.0646,0.0733,0.0654,0.0716
273489,chr11,208403,208403,*,0.0595,0.0604,0.0602,0.0725,0.0573,0.0577,0.0595,0.0571,0.0627,0.0618,0.0656
273490,chr11,208423,208423,*,0.0139,0.0168,0.0182,0.052,0.0164,0.0157,0.0183,0.0172,0.0119,0.019,0.0187
273491,chr11,208469,208469,*,0.0475,0.0499,0.0489,0.0471,0.0522,0.05,0.0491,0.0461,0.0484,0.048,0.0529
273492,chr11,208514,208514,*,0.029,0.0243,0.0251,0.0237,0.0224,0.0194,0.0282,0.0243,0.0281,0.0257,0.0296
273493,chr11,208656,208656,*,0.0288,0.0342,0.0265,0.0289,0.0257,0.0293,0.0268,0.0271,0.0347,0.0297,0.0336
273494,chr11,208661,208661,*,0.0118,0.0092,0.0122,0.0118,0.0094,0.0076,0.009,0.0083,0.0108,0.0118,0.0115
273495,chr11,208948,208948,*,0.0653,0.0703,0.0666,0.073,0.066,0.0648,0.0667,0.0652,0.0619,0.0687,0.0687
273496,chr11,209206,209206,*,0.0472,0.0498,0.0522,0.0524,0.0483,0.0435,0.0556,0.0468,0.0737,0.038,0.0394
273497,chr11,210610,210610,*,0.9232,0.9417,0.9535,0.9518,0.9511,0.9468,0.9489,0.9427,0.9503,0.9478,0.9454
273498,chr11,212302,212302,*,0.847,0.8636,0.8671,0.8732,0.8714,0.8549,0.87,0.8596,0.8011,0.8735,0.8719
273499,chr11,214949,214949,*,0.7114,0.8418,0.8217,0.8607,0.7833,0.7996,0.8131,0.8314,0.8299,0.783,0.7668
273500,chr11,216570,216570,*,0.724,0.7057,0.732,0.7498,0.7402,0.7221,0.6923,0.7169,0.3354,0.7969,0.8013
273501,chr11,223351,223351,*,0.7875,0.7682,0.7645,0.7802,0.6318,0.6785,0.7745,0.7604,0.5976,0.7901,0.8043
273502,chr11,232013,232013,*,0.8774,0.8501,0.9154,0.8992,0.9103,0.9104,0.8935,0.8778,0.905,0.9023,0.8876
273503,chr11,234764,234764,*,0.9172,0.9133,0.9138,0.8837,0.914,0.9106,0.9201,0.9184,0.9009,0.9107,0.9091
273504,chr11,236011,236011,*,0.0507,0.0467,0.0526,0.0511,0.051,0.0392,0.0525,0.0532,0.0494,0.0434,0.048
273505,chr11,236309,236309,*,0.0098,0.0153,0.0089,0.0108,0.0106,0.0116,0.0132,0.0076,0.0245,0.0049,0.0104
273506,chr11,236413,236413,*,0.0437,0.0494,0.0426,0.0487,0.0427,0.0388,0.0374,0.0438,0.0496,0.0298,0.0415
273507,chr11,236519,236519,*,0.049,0.0558,0.056,0.0485,0.0504,0.0501,0.0515,0.0515,0.0556,0.0527,0.0567
273508,chr11,236527,236527,*,0.0586,0.0622,0.0579,0.0577,0.0589,0.0545,0.0612,0.0567,0.0563,0.0572,0.0607
273509,chr11,236658,236658,*,0.0369,0.0547,0.0348,0.0333,0.0377,0.0396,0.0378,0.0341,0.0333,0.036,0.0327
273510,chr11,236699,236699,*,0.0604,0.0618,0.0613,0.0572,0.0644,0.0648,0.0619,0.0578,0.0572,0.0621,0.0598
273511,chr11,236743,236743,*,0.0523,0.0502,0.0538,0.0468,0.0499,0.0494,0.0525,0.0497,0.0489,0.0534,0.05
273512,chr11,236781,236781,*,0.0896,0.0941,0.0826,0.0961,0.079,0.0897,0.0802,0.0857,0.0807,0.0846,0.0854
273513,chr11,236787,236787,*,0.0645,0.0622,0.065,0.068,0.0909,0.0678,0.0704,0.047,0.0825,0.0525,0.0726
273514,chr11,236908,236908,*,0.0143,0.0145,0.0156,0.0127,0.0154,0.0109,0.0149,0.0184,0.0167,0.0133,0.0149
273515,chr11,237000,237000,*,0.0854,0.0935,0.0894,0.0845,0.0891,0.0944,0.0902,0.0904,0.0732,0.0944,0.0928
273516,chr11,237014,237014,*,0.0827,0.0824,0.1082,0.1078,0.1235,0.101,0.0702,0.0877,0.1092,0.0993,0.0869
273517,chr11,237063,237063,*,0.0501,0.0519,0.0528,0.0501,0.0546,0.0578,0.0532,0.0525,0.0644,0.0542,0.0529
273518,chr11,237153,237153,*,0.0479,0.049,0.0436,0.0478,0.0423,0.0432,0.0411,0.0484,0.0684,0.0396,0.0457
273519,chr11,238527,238527,*,0.7295,0.7882,0.8315,0.7907,0.8223,0.8523,0.7706,0.7645,0.8374,0.8492,0.8321
273520,chr11,239613,239613,*,0.7342,0.7133,0.8316,0.8383,0.8749,0.8874,0.8394,0.8489,0.824,0.8755,0.8421
273521,chr11,245924,245924,*,0.0718,0.0228,0.05,0.0189,0.0513,0.0213,0.0637,0.0619,0.0555,0.0599,0.0482
273522,chr11,250989,250989,*,0.775,0.8112,0.7647,0.8282,0.7326,0.762,0.8182,0.7485,0.7238,0.8196,0.841
273523,chr11,252351,252351,*,0.678,0.6172,0.6933,0.6971,0.7249,0.7164,0.7004,0.696,0.6852,0.6988,0.697
273524,chr11,252450,252450,*,0.9235,0.9279,0.9398,0.9369,0.9455,0.9411,0.9407,0.9394,0.9138,0.9423,0.9356
273525,chr11,252683,252683,*,0.8389,0.9258,0.9157,0.9175,0.9286,0.8912,0.9021,0.9109,0.7249,0.9324,0.8911
273526,chr11,259533,259533,*,0.8987,0.8365,0.9045,0.8476,0.9024,0.8696,0.8924,0.8458,0.6916,0.8933,0.9017
273527,chr11,259554,259554,*,0.6829,0.6453,0.6751,0.5404,0.6649,0.5913,0.6593,0.6304,0.4945,0.7784,0.7405
273528,chr11,267613,267613,*,0.2841,0.2001,0.3036,0.1931,0.2762,0.229,0.4335,0.301,0.5049,0.4262,0.5237
273529,chr11,268923,268923,*,0.3156,0.2275,0.3052,0.1315,0.2382,0.2231,0.5698,0.2127,0.5874,0.5304,0.5069
273530,chr11,268950,268950,*,0.4803,0.305,0.4503,0.1723,0.3471,0.3063,0.7262,0.3278,0.7068,0.7018,0.6654
273531,chr11,268976,268976,*,0.2328,0.1763,0.3338,0.1116,0.2187,0.19,0.5706,0.2084,0.539,0.6035,0.6185
273532,chr11,269375,269375,*,0.6963,0.4286,0.6168,0.2741,0.4446,0.365,0.6872,0.4704,0.3507,0.7374,0.7574
273533,chr11,269468,269468,*,0.5486,0.417,0.5031,0.1769,0.3295,0.2724,0.7094,0.3264,0.5661,0.6338,0.6777
273534,chr11,277381,277381,*,0.6841,0.6417,0.67,0.6233,0.6684,0.6524,0.6936,0.6677,0.6214,0.6966,0.6757
273535,chr11,278092,278092,*,0.7475,0.7749,0.7085,0.7003,0.5747,0.6335,0.7255,0.7316,0.6209,0.706,0.7004
273536,chr11,278394,278394,*,0.6796,0.7153,0.4889,0.4266,0.5921,0.5728,0.7479,0.5985,0.7077,0.6768,0.7034
273537,chr11,278403,278403,*,0.6791,0.706,0.5068,0.4301,0.5909,0.5748,0.694,0.5797,0.729,0.6735,0.6943
273538,chr11,278421,278421,*,0.8296,0.853,0.5883,0.5514,0.754,0.7464,0.8774,0.7394,0.7672,0.8488,0.888
273539,chr11,278450,278450,*,0.703,0.742,0.5958,0.5105,0.7031,0.6657,0.7421,0.6693,0.6865,0.7274,0.7286
273540,chr11,278462,278462,*,0.8079,0.8179,0.6921,0.5264,0.7626,0.7511,0.8518,0.7752,0.8343,0.8344,0.7838
273541,chr11,278538,278538,*,0.6558,0.7197,0.5695,0.4898,0.6613,0.6149,0.7197,0.6638,0.644,0.6415,0.6551
273542,chr11,278912,278912,*,0.376,0.4705,0.3691,0.419,0.4355,0.4223,0.5199,0.4365,0.5792,0.4208,0.4567
273543,chr11,279185,279185,*,0.3759,0.4657,0.413,0.5309,0.4127,0.4238,0.5472,0.4712,0.2723,0.3438,0.3303
273544,chr11,279423,279423,*,0.064,0.2425,0.2042,0.4307,0.0754,0.2243,0.3257,0.2832,0.0339,0.0743,0.1261
273545,chr11,279950,279950,*,0.1502,0.1963,0.1501,0.1391,0.1782,0.205,0.1735,0.1534,0.1347,0.1676,0.1985
273546,chr11,280445,280445,*,0.2105,0.2393,0.2797,0.2115,0.2615,0.293,0.1815,0.2344,0.2738,0.2202,0.2284
273547,chr11,280784,280784,*,0.1594,0.2824,0.2644,0.2341,0.1837,0.2728,0.218,0.2157,0.2888,0.1565,0.2145
273548,chr11,281516,281516,*,0.3058,0.3435,0.3155,0.3997,0.2863,0.2746,0.2609,0.3427,0.1538,0.2526,0.2128
273549,chr11,281699,281699,*,0.2582,0.3283,0.3194,0.3245,0.2757,0.2942,0.2544,0.3091,0.1783,0.2346,0.2268
273550,chr11,281888,281888,*,0.5919,0.624,0.5776,0.5406,0.6625,0.5828,0.6068,0.6181,0.5192,0.6299,0.695
273551,chr11,282321,282321,*,0.4952,0.5432,0.5198,0.5325,0.5218,0.5076,0.5314,0.575,0.2907,0.5073,0.4059
273552,chr11,285037,285037,*,0.6556,0.6629,0.7168,0.6595,0.6228,0.4898,0.5337,0.5179,0.3978,0.7198,0.6246
273553,chr11,287723,287723,*,0.2906,0.258,0.2448,0.2093,0.3457,0.2396,0.2537,0.2883,0.2907,0.2736,0.2487
273554,chr11,288021,288021,*,0.3829,0.3943,0.2123,0.1287,0.3949,0.1597,0.3051,0.3035,0.0737,0.397,0.2987
273555,chr11,288301,288301,*,0.0902,0.1294,0.096,0.0781,0.1086,0.1363,0.1416,0.0892,0.3663,0.1394,0.2197
273556,chr11,288305,288305,*,0.1547,0.2276,0.1548,0.1255,0.2145,0.1903,0.3043,0.1409,0.4517,0.2733,0.3288
273557,chr11,288943,288943,*,0.0131,0.0094,0.0117,0.0101,0.0108,0.0136,0.0111,0.0118,0.0133,0.0116,0.0121
273558,chr11,288954,288954,*,0.0643,0.0718,0.0684,0.0636,0.0657,0.0615,0.0644,0.065,0.0679,0.0708,0.0702
273559,chr11,289774,289774,*,0.7827,0.7206,0.7234,0.6853,0.6162,0.5505,0.5819,0.6868,0.8338,0.5111,0.7474
273560,chr11,289927,289927,*,0.867,0.8198,0.8315,0.8276,0.7679,0.7296,0.7151,0.8089,0.8947,0.801,0.892
273561,chr11,289966,289966,*,0.9303,0.9434,0.9277,0.9298,0.8967,0.8136,0.7684,0.8901,0.9569,0.9721,0.9777
273562,chr11,290292,290292,*,0.7712,0.7526,0.7542,0.7507,0.7498,0.6854,0.7402,0.7508,0.7507,0.7698,0.7653
273563,chr11,290447,290447,*,0.9677,0.9687,0.9647,0.9812,0.9514,0.8712,0.9106,0.9355,0.9743,0.9821,0.9865
273564,chr11,291642,291642,*,0.8932,0.9319,0.9321,0.9229,0.9239,0.8884,0.8898,0.8983,0.8632,0.919,0.9411
273565,chr11,291678,291678,*,0.7391,0.797,0.7586,0.7484,0.7904,0.7684,0.7537,0.7202,0.628,0.7488,0.8205
273566,chr11,291905,291905,*,0.9614,0.9704,0.9697,0.9754,0.9749,0.9747,0.9709,0.9772,0.8985,0.9746,0.9727
273567,chr11,293878,293878,*,0.7086,0.7663,0.7077,0.7192,0.7677,0.7542,0.4697,0.742,0.5518,0.7771,0.804
273568,chr11,295633,295633,*,0.7962,0.8664,0.8321,0.8431,0.8575,0.787,0.8547,0.8206,0.5978,0.8551,0.8542
273569,chr11,296432,296432,*,0.6167,0.6686,0.6919,0.7554,0.6921,0.6137,0.695,0.6732,0.4997,0.6706,0.6634
273570,chr11,296540,296540,*,0.4522,0.4173,0.4415,0.4168,0.4946,0.4089,0.475,0.4599,0.3042,0.5066,0.3257
273571,chr11,296670,296670,*,0.6955,0.6788,0.6769,0.7601,0.7226,0.6271,0.5399,0.7368,0.475,0.7822,0.7015
273572,chr11,298670,298670,*,0.5214,0.4465,0.4487,0.3754,0.4569,0.4373,0.3996,0.4743,0.319,0.493,0.4772
273573,chr11,299390,299390,*,0.5023,0.4771,0.4688,0.4024,0.4797,0.4144,0.3834,0.4557,0.3236,0.5042,0.372
273574,chr11,299482,299482,*,0.9012,0.8877,0.8866,0.7446,0.9281,0.8286,0.7418,0.8569,0.9368,0.9287,0.9254
273575,chr11,299503,299503,*,0.7214,0.6426,0.6729,0.5873,0.6676,0.6187,0.5047,0.6685,0.6979,0.7166,0.7207
273576,chr11,299545,299545,*,0.6516,0.57,0.5773,0.4392,0.6266,0.5524,0.5199,0.5773,0.4898,0.6588,0.5808
273577,chr11,299564,299564,*,0.5312,0.4982,0.4658,0.3623,0.4844,0.4422,0.3806,0.4659,0.3179,0.5199,0.4914
273578,chr11,299588,299588,*,0.8886,0.8032,0.7781,0.5693,0.8837,0.7464,0.6572,0.7973,0.6758,0.8998,0.8918
273579,chr11,299629,299629,*,0.802,0.6976,0.752,0.5408,0.8178,0.7021,0.6454,0.7464,0.6224,0.8287,0.7267
273580,chr11,299668,299668,*,0.3971,0.3925,0.3983,0.2839,0.4025,0.3773,0.2968,0.382,0.2851,0.3863,0.2932
273581,chr11,300286,300286,*,0.3706,0.4369,0.3467,0.3761,0.2963,0.3209,0.2705,0.2995,0.1485,0.3247,0.462
273582,chr11,300404,300404,*,0.2111,0.3802,0.3538,0.2523,0.3242,0.3859,0.2011,0.3308,0.163,0.3167,0.3709
273583,chr11,300490,300490,*,0.2335,0.3448,0.426,0.295,0.3699,0.3979,0.2009,0.3632,0.2414,0.4187,0.4429
273584,chr11,300772,300772,*,0.8431,0.6455,0.6056,0.491,0.7706,0.6763,0.5514,0.7348,0.5858,0.7574,0.7284
273585,chr11,303166,303166,*,0.8407,0.829,0.8036,0.8036,0.8429,0.8163,0.7302,0.8308,0.6739,0.8354,0.8361
273586,chr11,304037,304037,*,0.8362,0.7619,0.7521,0.7835,0.8494,0.7882,0.7452,0.7853,0.7339,0.79,0.8648
273587,chr11,304080,304080,*,0.9844,0.9703,0.9802,0.9829,0.9866,0.9201,0.9429,0.9582,0.8392,0.9533,0.9814
273588,chr11,304191,304191,*,0.9634,0.9602,0.9426,0.9582,0.9712,0.9197,0.9311,0.9381,0.8751,0.8815,0.9429
273589,chr11,304351,304351,*,0.9196,0.8584,0.9607,0.9589,0.9072,0.9231,0.8039,0.9314,0.8539,0.8387,0.9231
273590,chr11,306324,306324,*,0.8634,0.8637,0.8798,0.8524,0.8933,0.8636,0.7803,0.865,0.4973,0.8314,0.8061
273591,chr11,306625,306625,*,0.8702,0.8613,0.8677,0.8803,0.8757,0.8813,0.8377,0.8705,0.7204,0.8609,0.8591
273592,chr11,306633,306633,*,0.9224,0.9229,0.9188,0.9144,0.9218,0.9216,0.9096,0.9116,0.834,0.9052,0.9199
273593,chr11,306639,306639,*,0.9422,0.9396,0.9372,0.944,0.9324,0.9403,0.918,0.9331,0.7599,0.9387,0.932
273594,chr11,308126,308126,*,0.0472,0.117,0.0789,0.1237,0.0671,0.1254,0.1477,0.0794,0.148,0.0539,0.1377
273595,chr11,308167,308167,*,0.0363,0.1061,0.0719,0.1574,0.029,0.1286,0.225,0.0361,0.0616,0.0339,0.1296
273596,chr11,308231,308231,*,0.2328,0.2845,0.3021,0.2593,0.2164,0.2811,0.4687,0.2167,0.4126,0.263,0.3749
273597,chr11,310771,310771,*,0.1005,0.1137,0.1128,0.108,0.1085,0.1066,0.1064,0.1148,0.1181,0.1156,0.1066
273598,chr11,311542,311542,*,0.0965,0.114,0.1275,0.1112,0.0912,0.1178,0.1296,0.1715,0.1748,0.1265,0.151
273599,chr11,312518,312518,*,0.5851,0.6466,0.647,0.5791,0.7346,0.6685,0.5801,0.6461,0.3871,0.714,0.5843
273600,chr11,312560,312560,*,0.3305,0.3288,0.4217,0.2978,0.3866,0.3859,0.2947,0.3614,0.1661,0.3105,0.2845
273601,chr11,312766,312766,*,0.577,0.5759,0.558,0.5337,0.6053,0.59,0.5708,0.5722,0.5339,0.6165,0.6079
273602,chr11,312841,312841,*,0.7291,0.7362,0.7053,0.6569,0.7379,0.7886,0.8113,0.6972,0.7352,0.7845,0.8038
273603,chr11,313120,313120,*,0.5119,0.5235,0.4866,0.4502,0.5592,0.592,0.7378,0.5385,0.3535,0.7374,0.7578
273604,chr11,313267,313267,*,0.6506,0.6356,0.6776,0.4744,0.7146,0.6554,0.7958,0.6774,0.5598,0.8231,0.859
273605,chr11,313354,313354,*,0.6355,0.6111,0.5783,0.4527,0.6559,0.5451,0.6584,0.6148,0.4497,0.7331,0.7574
273606,chr11,313478,313478,*,0.4487,0.5458,0.4547,0.2977,0.5151,0.4392,0.7218,0.4398,0.4488,0.7404,0.77
273607,chr11,313527,313527,*,0.6214,0.6216,0.6237,0.4442,0.6984,0.5536,0.7752,0.6189,0.6271,0.7962,0.8069
273608,chr11,313624,313624,*,0.4212,0.5033,0.4022,0.3103,0.4743,0.4217,0.6428,0.4525,0.5118,0.6754,0.7024
273609,chr11,314044,314044,*,0.0718,0.1268,0.0622,0.0431,0.0712,0.079,0.299,0.1226,0.2792,0.2703,0.3564
273610,chr11,314074,314074,*,0.1196,0.3099,0.1104,0.1042,0.1012,0.1527,0.7749,0.1959,0.6824,0.6909,0.7379
273611,chr11,314341,314341,*,0.1935,0.3104,0.1651,0.1001,0.2623,0.1933,0.6514,0.232,0.5427,0.6089,0.6391
273612,chr11,314493,314493,*,0.1753,0.2758,0.2125,0.1651,0.2247,0.2174,0.6031,0.2273,0.4381,0.5949,0.5594
273613,chr11,315102,315102,*,0.4814,0.5513,0.3664,0.3538,0.5257,0.4373,0.6637,0.422,0.3251,0.6928,0.7035
273614,chr11,315118,315118,*,0.6807,0.6919,0.4716,0.3896,0.6964,0.6008,0.8266,0.5752,0.6437,0.7898,0.8271
273615,chr11,315262,315262,*,0.437,0.5349,0.3014,0.2673,0.4492,0.3656,0.6266,0.3814,0.516,0.6173,0.6483
273616,chr11,315751,315751,*,0.664,0.7149,0.6091,0.4987,0.7407,0.6776,0.6891,0.6758,0.4525,0.518,0.5771
273617,chr11,315908,315908,*,0.7132,0.783,0.6688,0.6132,0.7682,0.7314,0.6516,0.7322,0.4602,0.5292,0.7052
273618,chr11,316088,316088,*,0.4929,0.5692,0.4987,0.4889,0.5549,0.5524,0.3769,0.5335,0.3524,0.3191,0.3696
273619,chr11,316247,316247,*,0.6066,0.688,0.6278,0.6067,0.648,0.6626,0.4491,0.6583,0.5253,0.3822,0.4605
273620,chr11,316339,316339,*,0.4793,0.5557,0.4819,0.4579,0.5048,0.556,0.3251,0.5239,0.2422,0.2389,0.3237
273621,chr11,316456,316456,*,0.5288,0.5599,0.4547,0.425,0.5078,0.5438,0.3617,0.505,0.2921,0.2876,0.3337
273622,chr11,317767,317767,*,0.5897,0.5211,0.7142,0.5572,0.7865,0.6566,0.4853,0.6926,0.4028,0.6215,0.5624
273623,chr11,318215,318215,*,0.0583,0.1043,0.1193,0.0895,0.0708,0.1191,0.1333,0.1998,0.1544,0.1572,0.1961
273624,chr11,319009,319009,*,0.1101,0.1175,0.1176,0.1112,0.1135,0.1092,0.1141,0.1207,0.1177,0.1259,0.1128
273625,chr11,319555,319555,*,0.2151,0.3161,0.3521,0.3132,0.3273,0.3909,0.2594,0.3993,0.5275,0.3255,0.6147
273626,chr11,319667,319667,*,0.234,0.3375,0.3688,0.2757,0.2998,0.3523,0.2862,0.3737,0.7852,0.3564,0.6137
273627,chr11,319718,319718,*,0.231,0.3992,0.3555,0.2873,0.299,0.3861,0.2892,0.3666,0.5422,0.4819,0.6338
273628,chr11,320439,320439,*,0.0827,0.0994,0.1198,0.0743,0.0944,0.1319,0.1833,0.1232,0.2602,0.1457,0.1968
273629,chr11,320732,320732,*,0.5007,0.5139,0.4785,0.4436,0.4874,0.4924,0.5005,0.4958,0.5058,0.4997,0.5191
273630,chr11,320836,320836,*,0.0635,0.1328,0.1814,0.1443,0.1894,0.1517,0.0951,0.2112,0.4051,0.0888,0.1172
273631,chr11,320840,320840,*,0.1257,0.1751,0.194,0.1038,0.1331,0.1687,0.1534,0.1874,0.4748,0.1417,0.157
273632,chr11,320889,320889,*,0.2798,0.3235,0.3141,0.3092,0.291,0.3496,0.323,0.326,0.4344,0.2872,0.357
273633,chr11,320929,320929,*,0.0588,0.0523,0.068,0.0623,0.0632,0.0784,0.0636,0.0833,0.0989,0.0478,0.0646
273634,chr11,320940,320940,*,0.0843,0.1379,0.1575,0.0753,0.1091,0.1795,0.0974,0.1479,0.4896,0.0686,0.1612
273635,chr11,320956,320956,*,0.1566,0.2256,0.2527,0.1593,0.1789,0.288,0.2704,0.2563,0.5992,0.1357,0.2098
273636,chr11,321324,321324,*,0.3672,0.6352,0.6556,0.5698,0.4879,0.636,0.6052,0.6246,0.6166,0.5465,0.6169
273637,chr11,324634,324634,*,0.6126,0.6826,0.5373,0.6649,0.5483,0.6097,0.7204,0.5505,0.3206,0.3212,0.3344
273638,chr11,324741,324741,*,0.4195,0.5123,0.4426,0.3851,0.3501,0.4626,0.3217,0.3907,0.2013,0.2608,0.2293
273639,chr11,324991,324991,*,0.6762,0.8627,0.8958,0.9165,0.847,0.9004,0.8161,0.7695,0.8375,0.3849,0.3716
273640,chr11,325030,325030,*,0.5515,0.7778,0.7557,0.8182,0.6662,0.7863,0.609,0.6387,0.5969,0.1971,0.1901
273641,chr11,325113,325113,*,0.5131,0.5623,0.5414,0.5364,0.5085,0.505,0.5361,0.5077,0.4478,0.4096,0.4244
273642,chr11,325364,325364,*,0.4805,0.6002,0.6514,0.6678,0.5762,0.6479,0.6452,0.6115,0.5947,0.337,0.3096
273643,chr11,325800,325800,*,0.6582,0.7781,0.8107,0.7422,0.7639,0.7749,0.7041,0.7517,0.8195,0.6036,0.6845
273644,chr11,325915,325915,*,0.9727,0.9501,0.9783,0.959,0.9717,0.9706,0.9571,0.9704,0.9474,0.9744,0.9723
